BEARINGID,CODE,NAME=型号,MANUFACTURE,DESCRIPTION,BPFO=外圈,BPFI=内圈,BSF=滚子,FTF=保持架,EDITSTATUS
15818,ZC015818,231-850,TORRNGTN,TORRINGTON SD BEARINGS,10.6882,13.3118,4.4533,0.4453,0
15819,ZC015819,23120,TORRNGTN,TORRINGTON,5.285,0,0,0,0
15820,ZC015820,23122,TORRNGTN,TORRINGTON CJ-YM BEARINGS,9.6978,12.3022,4.0855,0.4408,0
15821,ZC015821,23124,TORRNGTN,TORRINGTON SD BEARINGS,9.1946,11.8054,3.8937,0.4378,0
15822,ZC015822,23126,TORRNGTN,TORRINGTON,9.7014,12.2976,4.1106,0.441,0
15823,ZC015823,23128,TORRNGTN,TORRINGTON SD BEARINGS,9.7002,12.2998,4.1079,0.4409,0
15824,ZC015824,23130,TORRNGTN,TORRINGTON,9.1878,11.8116,3.8676,0.4368,0
15825,ZC015825,23132,TORRNGTN,TORRINGTON,8.6868,11.3124,3.675,0.4338,0
15826,ZC015826,23134,TORRNGTN,TORRINGTON SD BEARINGS,9.6938,12.3062,4.0807,0.4406,0
15827,ZC015827,23136,TORRNGTN,TORRINGTON,9.1848,11.8146,3.8598,0.4368,0
15828,ZC015828,23138,TORRNGTN,TORRINGTON,9.6114,12.3876,3.8286,0.4368,0
15829,ZC015829,23140,TORRNGTN,TORRINGTON,8.6898,11.3094,3.6798,0.4338,0
15830,ZC015830,23140B,TORRNGTN,TORRINGTON SD BEARINGS,9.7407,12.2593,4.2298,0.4428,0
15831,ZC015831,23144,TORRNGTN,TORRINGTON SD BEARINGS,9.1809,11.8191,3.8454,0.4372,0
15832,ZC015832,23148,TORRNGTN,TORRINGTON,9.1716,11.8278,3.8208,0.4368,0
15833,ZC015833,23152,TORRNGTN,TORRINGTON,9.2214,11.7774,3.9756,0.4392,0
15834,ZC015834,23156,TORRNGTN,TORRINGTON CJ-YM BEARINGS,9.2088,11.7912,3.9245,0.4385,0
15835,ZC015835,23160,TORRNGTN,TORRINGTON,9.2214,11.7774,3.9738,0.4392,0
15836,ZC015836,23164,TORRNGTN,TORRINGTON SD BEARINGS,9.1761,11.8239,3.8301,0.437,0
15837,ZC015837,23164B,TORRNGTN,TORRINGTON SD BEARINGS,9.7341,12.2659,4.2131,0.4425,0
15838,ZC015838,23168,TORRNGTN,TORRINGTON,8.6814,11.3178,3.6576,0.4338,0
15839,ZC015839,23172B,TORRNGTN,TORRINGTON,9.7188,12.2796,4.1646,0.4422,0
15840,ZC015840,23176,TORRNGTN,TORRINGTON,9.7398,12.2598,4.236,0.4428,0
15841,ZC015841,23180,TORRNGTN,TORRINGTON SD BEARINGS,9.7222,12.2778,4.1776,0.4419,0
15842,ZC015842,23182,TORRNGTN,TORRINGTON,9.722,12.278,4.177,0.44,0
15843,ZC015843,23184,TORRNGTN,TORRINGTON SD BEARINGS,9.1718,11.8282,3.8207,0.4368,0
15844,ZC015844,23188,TORRNGTN,TORRINGTON SD BEARINGS,9.7175,12.2825,4.1579,0.4417,0
15845,ZC015845,23192,TORRNGTN,TORRINGTON SD BEARINGS,9.1929,11.8071,3.8866,0.4378,0
15846,ZC015846,23196,TORRNGTN,TORRINGTON SD BEARINGS,9.6757,12.3243,4.0236,0.4398,0
15847,ZC015847,232-500,TORRNGTN,TORRINGTON SD BEARINGS,7.6639,10.3361,3.2129,0.4258,0
15848,ZC015848,232-530,TORRNGTN,TORRINGTON SD BEARINGS,7.6531,10.3469,3.1871,0.4252,0
15849,ZC015849,232-530B,TORRNGTN,TORRINGTON SD BEARINGS,7.7691,10.2309,3.5081,0.4316,0
15850,ZC015850,232-560,TORRNGTN,TORRINGTON SD BEARINGS,7.2654,9.7346,3.2962,0.4274,0
15851,ZC015851,232-600,TORRNGTN,TORRINGTON SD BEARINGS,7.6877,10.3123,3.2785,0.4271,0
15852,ZC015852,232-630,TORRNGTN,TORRINGTON SD BEARINGS,7.7554,10.2446,3.4651,0.4309,0
15853,ZC015853,232-670,TORRNGTN,TORRINGTON SD BEARINGS,8.2635,10.7365,3.6896,0.4349,0
15854,ZC015854,232-800,TORRNGTN,TORRINGTON CJ-YM BEARINGS,8.6785,11.3215,3.6269,0.4339,0
